Time (s),Min Depth (m),Throttle
37.45765018463135,0.0,0.0
37.52558088302612,0.0,0.0
37.59069609642029,0.0,0.0
37.65852975845337,0.0,0.0
37.724812030792236,0.0,0.0
37.791369676589966,0.0,0.0
37.857322216033936,0.0,0.0
37.924694299697876,0.0,0.0
37.99092411994934,0.0,0.0
38.05812382698059,0.0,0.0
38.123990058898926,0.0,0.0
38.192432165145874,0.0,0.0
38.25689148902893,0.0,0.0
38.32469320297241,0.0,0.0
38.39100885391235,0.0,0.0
38.45799803733826,0.0,0.0
38.523518800735474,0.0,0.0
38.59125590324402,0.0,0.0
38.65672755241394,0.0,0.0
38.72454524040222,0.0,0.0
38.790732622146606,0.0,0.0
38.858261585235596,0.0,0.0
38.923423528671265,0.0,0.0
38.99132680892944,0.0,0.0
39.05829334259033,0.0,0.0
39.124439001083374,0.0,0.0
39.19033932685852,0.0,0.0
39.25765919685364,0.0,0.0
39.32322335243225,0.0,0.0
39.39232587814331,0.0,0.0
39.45897912979126,0.0,0.0
39.5289101600647,0.0,0.0
39.59005832672119,0.0,0.0
39.65867614746094,0.0,0.0
39.723358392715454,0.0,0.0
39.791093587875366,1.845,0.06
39.85770058631897,0.0,0.0
39.92429161071777,0.0,0.0
39.99017858505249,0.0,0.0
40.05785250663757,0.0,0.0
40.12350344657898,0.0,0.0
40.191099405288696,0.0,0.0
40.25672507286072,0.0,0.0
40.32438945770264,0.0,0.0
40.39020562171936,0.0,0.0
40.457738161087036,0.0,0.0
40.523359537124634,0.0,0.0
40.591206789016724,0.0,0.0
40.65684938430786,0.0,0.0
40.726163148880005,0.0,0.0
40.790308475494385,0.0,0.0
40.857847929000854,0.0,0.0
40.92338585853577,0.0,0.0
40.99126362800598,0.0,0.0
41.058576345443726,0.0,0.0
41.12436509132385,0.0,0.0
41.190277099609375,0.0,0.0
41.25844407081604,0.0,0.0
41.323155641555786,0.0,0.0
41.39106893539429,0.0,0.0
41.45652723312378,0.0,0.0
41.524680852890015,0.0,0.0
41.58990693092346,0.0,0.0
41.65764880180359,0.0,0.0
41.72328805923462,0.0,0.0
41.7913134098053,0.0,0.0
41.856417417526245,0.0,0.0
41.92651104927063,0.0,0.0
41.98998284339905,1.838,0.06
42.057528018951416,0.0,0.0
42.12310028076172,0.0,0.0
42.19106864929199,0.0,0.0
42.256834506988525,0.0,0.0
42.32434010505676,0.0,0.0
42.39029860496521,0.0,0.0
42.457693099975586,0.0,0.0
42.523178815841675,0.0,0.0
42.591150522232056,0.0,0.0
42.65653705596924,0.0,0.0
42.72518515586853,0.0,0.0
42.79014348983765,0.0,0.0
42.857330560684204,0.0,0.0
42.92306876182556,0.0,0.0
42.99105668067932,0.0,0.0
43.05636429786682,0.0,0.0
43.12387442588806,0.0,0.0
43.19120907783508,0.0,0.0
43.25737905502319,0.0,0.0
43.32309055328369,0.0,0.0
43.39101982116699,0.0,0.0
43.45623803138733,0.0,0.0
43.524163007736206,0.0,0.0
43.58991837501526,0.0,0.0
43.657342195510864,0.0,0.0
43.72296500205994,0.0,0.0
43.79183101654053,0.0,0.0
43.85647535324097,0.0,0.0
43.924147605895996,0.0,0.0
43.989558696746826,0.0,0.0
44.058229207992554,1.8280001,0.06
44.12543702125549,1.7540001,0.06
44.19055700302124,0.0,0.0
44.256311893463135,0.0,0.0
44.323872566223145,0.0,0.0
44.39052629470825,0.0,0.0
44.45813465118408,0.0,0.0
44.52285146713257,0.0,0.0
44.59052085876465,0.0,0.0
44.65629291534424,0.0,0.0
44.72382092475891,0.0,0.0
44.79058504104614,0.0,0.0
44.857547760009766,0.0,0.0
44.92395758628845,1.838,0.06
